#   gal ID      M*           (g-r)       SFR
     782    5.9189e+07     0.6908    1.0000e-05
     784    4.8469e+07     0.6744    1.0000e-05
     797    3.3186e+07     0.6655    1.0000e-05
     806    4.7101e+07     0.6628    1.0000e-05
     810    1.2834e+08     0.7492    1.0000e-05
     812    2.9590e+07     0.6471    1.0000e-05
     822    2.6050e+07     0.6473    1.0000e-05
     823    2.5377e+07     0.6585    1.0000e-05
     830    1.0493e+08     0.7354    1.0000e-05
     834    9.3370e+07     0.6567    1.0000e-05
     837    9.8233e+07     0.7256    1.0000e-05
     838    6.9452e+07     0.7043    1.0000e-05
     841    8.3381e+07     0.7254    1.0000e-05
     853    5.2418e+07     0.6871    1.0000e-05
     858    3.8120e+07     0.6739    1.0000e-05
     871    2.7519e+07     0.6590    1.0000e-05
     919    3.5445e+07     0.6707    1.0000e-05
     942    7.2254e+07     0.7126    1.0000e-05
     943    3.5586e+07     0.6702    1.0000e-05
     951    4.9484e+07     0.6855    1.0000e-05
     955    2.6054e+07     0.6635    1.0000e-05
     958    3.3427e+07     0.6783    1.0000e-05
     959    3.1089e+07     0.6645    1.0000e-05
     964    5.8730e+07     0.7241    1.0000e-05
     972    2.5197e+07     0.6731    1.0000e-05
     973    5.2417e+07     0.6906    1.0000e-05
     974    3.7206e+07     0.6718    1.0000e-05
     984    4.5278e+07     0.6785    1.0000e-05
     989    3.3077e+07     0.6802    1.0000e-05
    1015    3.5904e+07     0.6363    1.0000e-05
    1054    1.0852e+08     0.7483    1.0000e-05
    1063    3.0006e+07     0.6738    1.0000e-05
    1090    4.5416e+07     0.6874    1.0000e-05
    1107    3.0031e+07     0.6726    1.0000e-05
    1111    3.4255e+07     0.6852    1.0000e-05
    1115    5.1201e+07     0.6959    1.0000e-05
    1123    1.4363e+08     0.8326    1.0000e-05
    1139    8.6542e+07     0.7293    1.0000e-05
    1142    3.6078e+07     0.6561    1.0000e-05
    1145    3.2183e+07     0.6737    1.0000e-05
    1162    4.4753e+07     0.7056    1.0000e-05
    1172    7.9202e+07     0.7514    1.0000e-05
    1176    3.1878e+07     0.6814    1.0000e-05
    1185    3.0985e+07     0.6846    1.0000e-05
    1200    8.3458e+07     0.7563    1.0000e-05
    1201    3.3419e+07     0.6911    1.0000e-05
