#     M*           rh* 
   4.5019e+07     1.7011
   6.5720e+07     1.4834
   3.0088e+07     1.4363
   1.5912e+08     1.4965
   1.3530e+08     2.4016
   1.6911e+08     2.2785
   3.6727e+07     1.4545
   1.3707e+08     1.4705
   2.7989e+07     2.0201
   9.0339e+07     1.6273
   2.3503e+08     1.1227
   2.2989e+08     0.7629
   2.7493e+08     0.7746
   4.4151e+07     1.7347
   2.6330e+07     1.4856
   9.5522e+07     1.2615
   3.0837e+07     1.8270
   1.0620e+08     1.3891
   1.2805e+08     0.8728
   1.3228e+08     1.7103
   2.4818e+08     0.9201
   1.5244e+08     2.1721
   5.3623e+07     1.3224
   2.7924e+07     1.3723
   2.1802e+08     0.8692
   1.3169e+08     1.3303
   4.7115e+07     1.3743
   2.6239e+08     0.4676
   1.0445e+08     2.1310
   7.3831e+07     1.2229
   2.2874e+08     0.7630
   2.9185e+07     2.2777
   1.7327e+08     1.0954
   5.0224e+07     1.7075
   7.9749e+07     1.3498
   1.9263e+08     0.9260
   7.5952e+07     2.2900
   4.3877e+07     1.7626
   1.0255e+08     1.6879
   4.9292e+07     1.9900
   9.7424e+07     1.1636
   2.9042e+07     1.7358
   1.2419e+08     1.2872
   3.7699e+07     2.1572
   2.5923e+07     1.5957
   1.1112e+08     1.1431
   3.3230e+07     1.7070
   8.0922e+07     1.7686
   2.6339e+07     1.5691
   3.1754e+07     1.4286
   4.7571e+07     1.8279
   7.5949e+07     1.4492
   9.3462e+07     1.2049
   7.8281e+07     1.3697
   4.8242e+07     1.4675
   6.7091e+07     1.3499
   3.9282e+07     1.6738
   3.6869e+07     1.5463
   4.5720e+07     1.6005
   1.1049e+08     0.5016
   2.9132e+07     1.8456
   2.9183e+07     1.7975
   5.7830e+07     1.4568
   4.5352e+07     1.4886
   3.8520e+07     1.2032
   4.1761e+07     1.5136
   2.7588e+07     1.3597
   2.9852e+07     1.6362
   3.7744e+07     1.3455
   6.5688e+07     0.8001
   3.5315e+07     1.3310
   3.5134e+07     1.2268
   2.8032e+07     1.4568
   2.9780e+07     1.5188
   8.3067e+08     1.5995
   9.6253e+08     1.0856
   8.9876e+08     2.0240
   6.1375e+08     2.7188
   1.2789e+08     0.4480
   8.1205e+08     3.5250
   1.1332e+09     1.3197
   8.3494e+07     1.1856
   1.3636e+08     0.9582
   3.1344e+08     5.0206
   2.8914e+08     0.7714
   2.3150e+08     0.9043
   3.0612e+08     0.4257
   3.4986e+07     1.1105
   5.5087e+08     0.4262
   4.7401e+08     1.1278
   9.6891e+08     2.2925
   3.7041e+08     2.3377
   1.0268e+09     1.2827
   1.2190e+09     1.3545
   8.9308e+08     1.1975
   1.3857e+08     0.5629
   2.7100e+08     1.5646
   1.5942e+08     3.4253
   2.4081e+08     2.2098
   1.0506e+08     1.5358
   1.7452e+08     1.6054
   3.0756e+08     1.7796
   1.7806e+08     0.8419
   9.9719e+07     1.2749
   2.9281e+07     1.1990
   1.6162e+08     3.6271
   4.5941e+08     1.9921
   5.7336e+07     1.1556
   5.1637e+08     0.9921
   1.4135e+08     0.5310
   9.8769e+08     0.4027
   3.3225e+07     1.6255
   3.2624e+07     1.0957
   9.0074e+07     0.9070
   5.8451e+07     1.7811
   1.5399e+08     3.2068
   9.9029e+07     1.2931
   1.7147e+08     2.9443
   2.3087e+08     2.2295
   1.3455e+08     1.5107
   3.1011e+07     1.1311
   7.6754e+07     1.8665
   5.5287e+07     2.5278
   4.0508e+08     1.1837
   7.7512e+07     1.5077
   1.0645e+08     1.7537
   5.7663e+08     0.4366
   3.3826e+08     1.4657
   2.9241e+08     1.3950
   2.8502e+08     2.0523
   6.8751e+07     1.2730
   9.8512e+07     1.5043
   9.7932e+07     1.6224
   5.0031e+07     2.0939
   3.2956e+07     1.4336
   8.5471e+07     1.5628
   6.4186e+07     1.3668
   9.0465e+07     1.7858
   9.0810e+07     1.7960
   1.7546e+08     1.3158
   3.0640e+08     1.0644
   9.3290e+07     1.4585
   3.3229e+07     1.2187
   7.7301e+07     2.4339
   1.1564e+08     1.6093
   2.5161e+07     1.6187
   1.3925e+08     2.3670
   8.0027e+07     1.4607
   2.3398e+08     1.5391
   3.3268e+08     0.6605
   1.2769e+08     1.6386
   2.0430e+08     1.3816
   4.2836e+07     1.2815
   1.1583e+08     1.3444
   1.1276e+08     1.8535
   1.0439e+08     2.0512
   1.3434e+08     1.8642
   4.1424e+07     1.8467
   2.9024e+07     1.3851
   1.8093e+08     1.5107
   1.8550e+08     1.4746
   6.2126e+07     1.4118
   1.3647e+08     1.0513
   2.5309e+07     1.6485
   7.8634e+07     1.5324
   5.0314e+07     1.5587
   4.0168e+07     1.6848
   1.5288e+08     1.4050
   4.3484e+07     1.7455
   9.7605e+07     0.9558
   1.0179e+08     1.5537
   5.6690e+07     1.4471
   4.5766e+07     1.4582
   7.6403e+07     1.5946
   2.4558e+08     0.3914
   1.6010e+08     0.7573
   8.3420e+07     1.5235
   6.7323e+07     2.0153
