#   gal ID      M*           rh* 
   64090    1.1484e+08     1.7769
   64091    3.6641e+07     1.6616
   64094    7.3919e+07     1.5686
   64098    1.6815e+08     2.7136
   64099    9.6675e+07     1.9771
   64102    4.4139e+07     1.0682
   64104    6.9307e+07     0.6658
   64108    7.6450e+07     1.6782
   64109    6.3004e+07     1.6006
   64113    8.9430e+07     2.0283
   64116    4.9491e+07     1.6437
   64117    5.9455e+07     1.7367
   64118    2.7632e+08     1.1404
   64123    2.7682e+07     1.3621
   64124    2.5566e+07     1.2662
   64126    2.6579e+07     1.2241
   64129    3.4749e+08     0.7344
   64130    6.8309e+07     1.5417
   64131    1.3933e+08     1.4299
   64134    1.0502e+08     2.5776
   64137    7.2230e+07     1.7516
   64139    2.9038e+08     1.0701
   64140    4.5019e+07     1.7011
   64145    6.5720e+07     1.4834
   64146    3.0088e+07     1.4363
   64157    1.5912e+08     1.4965
   64159    1.3530e+08     2.4016
   64160    1.6911e+08     2.2785
   64161    3.6727e+07     1.4545
   64163    1.3707e+08     1.4705
   64164    2.7989e+07     2.0201
   64165    9.0339e+07     1.6273
   64169    2.3503e+08     1.1227
   64170    2.2989e+08     0.7629
   64173    2.7493e+08     0.7746
   64174    4.4151e+07     1.7347
   64181    2.6330e+07     1.4856
   64182    9.5522e+07     1.2615
   64183    3.0837e+07     1.8270
   64185    1.0620e+08     1.3891
   64190    1.2805e+08     0.8728
   64193    1.3228e+08     1.7103
   64195    2.4818e+08     0.9201
   64209    1.5244e+08     2.1721
   64211    5.3623e+07     1.3224
   64218    2.7924e+07     1.3723
   64233    2.1802e+08     0.8692
   64234    1.3169e+08     1.3303
   64239    4.7115e+07     1.3743
   64240    2.6239e+08     0.4676
   64244    1.0445e+08     2.1310
   64248    7.3831e+07     1.2229
   64253    2.2874e+08     0.7630
   64256    2.9185e+07     2.2777
   64269    1.7327e+08     1.0954
   64275    5.0224e+07     1.7075
   64299    7.9749e+07     1.3498
   64300    1.9263e+08     0.9260
   64303    7.5952e+07     2.2900
   64305    4.3877e+07     1.7626
   64308    1.0255e+08     1.6879
   64319    4.9292e+07     1.9900
   64322    9.7424e+07     1.1636
   64327    2.9042e+07     1.7358
   64346    1.2419e+08     1.2872
   64354    3.7699e+07     2.1572
   64360    2.5923e+07     1.5957
   64373    1.1112e+08     1.1431
   64379    3.3230e+07     1.7070
   64382    8.0922e+07     1.7686
   64386    2.6339e+07     1.5691
   64398    3.1754e+07     1.4286
   64399    4.7571e+07     1.8279
   64418    7.5949e+07     1.4492
   64425    9.3462e+07     1.2049
   64442    7.8281e+07     1.3697
   64444    4.8242e+07     1.4675
   64462    6.7091e+07     1.3499
   64480    3.9282e+07     1.6738
   64549    3.6869e+07     1.5463
   64572    4.5720e+07     1.6005
   64580    1.1049e+08     0.5016
   64582    2.9132e+07     1.8456
   64597    2.9183e+07     1.7975
   64605    5.7830e+07     1.4568
   64611    4.5352e+07     1.4886
   64624    3.8520e+07     1.2032
   64626    4.1761e+07     1.5136
   64681    2.7588e+07     1.3597
   64688    2.9852e+07     1.6362
   64695    3.7744e+07     1.3455
   64786    6.5688e+07     0.8001
   64823    3.5315e+07     1.3310
   65080    3.5134e+07     1.2268
   65232    2.8032e+07     1.4568
   65247    2.9780e+07     1.5188
   96787    8.3067e+08     1.5995
   96790    9.6253e+08     1.0856
